policy,task_id,passed,why_not,thinking_tokens,total_new_tokens,hit_limit
thinking_on,HumanEval/0,False,NameError: name 'List' is not defined. Did you mean: 'list'?,0,2048,True
thinking_on,HumanEval/1,False,SyntaxError: unterminated string literal (detected at line 10),0,2048,True
thinking_on,HumanEval/2,True,,1139,1250,False
thinking_on,HumanEval/3,True,,591,756,False
thinking_on,HumanEval/4,True,,921,1146,False
thinking_on,HumanEval/5,True,,844,1023,False
thinking_on,HumanEval/6,True,,1459,1712,False
thinking_on,HumanEval/7,True,,477,597,False
thinking_on,HumanEval/8,True,,783,974,False
thinking_on,HumanEval/9,True,,1696,1877,False
thinking_on,HumanEval/10,False,SyntaxError: invalid syntax,0,2048,True
thinking_on,HumanEval/11,True,,820,1020,False
thinking_on,HumanEval/12,True,,778,968,False
thinking_on,HumanEval/13,True,,1312,1472,False
thinking_on,HumanEval/14,True,,0,118,False
thinking_on,HumanEval/15,True,,436,541,False
thinking_on,HumanEval/16,True,,626,778,False
thinking_on,HumanEval/17,True,,1383,1712,False
thinking_on,HumanEval/18,True,,1153,1451,False
thinking_on,HumanEval/19,True,,984,1343,False
thinking_on,HumanEval/20,True,,1645,2009,False
thinking_on,HumanEval/21,True,,1138,1433,False
thinking_on,HumanEval/22,True,,629,768,False
thinking_on,HumanEval/23,True,,0,53,False
thinking_on,HumanEval/24,True,,1656,1920,False
thinking_on,HumanEval/25,False,timeout,1863,2048,True
thinking_on,HumanEval/26,True,,875,1073,False
thinking_on,HumanEval/27,True,,390,456,False
thinking_on,HumanEval/28,False,NameError: name 'List' is not defined. Did you mean: 'list'?,0,156,False
thinking_on,HumanEval/29,True,,530,650,False
thinking_off,HumanEval/0,True,,0,205,False
thinking_off,HumanEval/1,True,,0,1890,False
thinking_off,HumanEval/2,True,,0,117,False
thinking_off,HumanEval/3,True,,0,166,False
thinking_off,HumanEval/4,True,,0,238,False
thinking_off,HumanEval/5,True,,0,166,False
thinking_off,HumanEval/6,True,,0,552,False
thinking_off,HumanEval/7,True,,0,142,False
thinking_off,HumanEval/8,True,,0,199,False
thinking_off,HumanEval/9,True,,0,432,False
thinking_off,HumanEval/10,True,,0,2047,False
thinking_off,HumanEval/11,True,,0,221,False
thinking_off,HumanEval/12,True,,0,369,False
thinking_off,HumanEval/13,True,,0,101,False
thinking_off,HumanEval/14,True,,0,106,False
thinking_off,HumanEval/15,True,,0,137,False
thinking_off,HumanEval/16,True,,0,90,False
thinking_off,HumanEval/17,False,AssertionError,0,2041,False
thinking_off,HumanEval/18,True,,0,507,False
thinking_off,HumanEval/19,True,,0,439,False
thinking_off,HumanEval/20,True,,0,2048,True
thinking_off,HumanEval/21,True,,0,333,False
thinking_off,HumanEval/22,True,,0,139,False
thinking_off,HumanEval/23,True,,0,53,False
thinking_off,HumanEval/24,True,,0,692,False
thinking_off,HumanEval/25,True,,0,226,False
thinking_off,HumanEval/26,False,AssertionError,0,141,False
thinking_off,HumanEval/27,True,,0,64,False
thinking_off,HumanEval/28,True,,0,73,False
thinking_off,HumanEval/29,True,,0,142,False
